aX,aY,aZ,gX,gY,gZ
0.742,0.628,-1.210,-179.871,68.848,-54.565
0.744,0.631,-1.256,-193.298,43.274,-66.162
0.749,0.647,-1.268,-196.472,28.442,-68.176
0.753,0.662,-1.241,-197.815,-3.357,-66.406
0.699,0.668,-1.169,-198.914,-19.470,-63.171
0.665,0.668,-1.138,-201.965,-35.034,-58.777
0.628,0.670,-1.113,-214.355,-62.012,-47.485
0.521,0.662,-1.044,-223.389,-72.754,-40.955
0.465,0.653,-0.986,-247.742,-89.844,-26.367
0.392,0.637,-0.838,-263.123,-96.680,-17.883
0.354,0.633,-0.760,-296.997,-106.812,2.686
0.227,0.638,-0.604,-312.683,-110.046,14.893
0.173,0.646,-0.523,-325.195,-112.244,27.954
0.145,0.653,-0.467,-335.205,-113.464,55.298
0.092,0.631,-0.374,-334.228,-112.000,69.153
0.059,0.608,-0.304,-333.618,-106.079,96.619
0.011,0.580,-0.194,-335.327,-102.783,110.352
-0.021,0.563,-0.151,-334.778,-95.215,137.329
-0.077,0.531,-0.090,-331.238,-90.698,150.269
-0.074,0.536,-0.068,-326.599,-85.388,162.964
-0.080,0.539,-0.010,-320.007,-72.632,188.843
-0.107,0.560,0.123,-318.726,-66.833,201.660
-0.116,0.584,0.151,-310.242,-56.335,225.769
-0.131,0.639,0.259,-301.697,-51.575,237.366
-0.100,0.687,0.356,-283.508,-46.997,262.024
0.009,0.823,0.568,-275.024,-47.852,276.855
0.022,0.880,0.683,-265.747,-50.720,293.335
-0.008,0.932,0.803,-238.464,-64.697,326.416
-0.120,1.043,1.012,-220.154,-75.500,341.370
-0.092,1.199,1.065,-179.687,-98.206,372.986
-0.089,1.461,1.263,-158.997,-108.276,391.907
-0.227,1.521,1.323,-138.062,-118.713,410.156
-0.325,1.570,1.331,-94.604,-135.193,442.261
-0.420,1.905,1.341,-76.782,-138.000,460.571
-0.586,2.063,1.389,-42.175,-135.925,503.235
-1.407,2.055,1.478,-14.221,-137.573,514.954
-1.707,2.054,1.461,60.730,-144.897,511.902
-1.958,2.025,1.338,91.309,-142.883,507.812
-2.178,1.907,1.259,108.826,-131.165,503.967
-2.404,1.821,1.174,111.267,-71.411,482.788
-2.756,1.702,1.052,105.896,-24.048,463.379
-2.875,1.658,0.984,89.905,95.032,411.438
-3.103,1.543,0.773,67.017,165.649,383.484
-3.191,1.561,0.616,24.414,244.507,355.652
-3.200,1.699,0.432,-96.497,429.932,301.880
-3.192,2.224,0.019,-147.705,531.494,275.085
-3.298,2.405,-0.157,-199.951,721.619,207.458
-3.570,2.440,-0.476,-212.585,798.218,159.790
-3.583,2.401,-0.539,-233.398,903.686,42.419
-3.470,2.360,-0.430,-239.807,928.772,-19.470
-3.309,2.365,-0.342,-236.267,934.631,-78.308
-3.097,2.343,-0.249,-185.730,899.414,-174.377
-2.620,2.147,-0.116,-146.240,866.516,-209.961
-2.435,2.000,-0.073,-67.139,790.466,-262.329
-2.183,1.743,-0.058,-37.170,751.282,-281.189
-2.001,1.585,-0.143,-2.380,675.110,-306.580
-1.447,1.221,-0.129,1.892,637.268,-313.416
-1.226,1.104,-0.056,-5.249,596.008,-315.796
-1.062,1.005,-0.034,-31.616,500.793,-308.350
-0.791,0.844,-0.062,-35.583,450.684,-300.110
-0.717,0.808,-0.081,-15.625,354.675,-274.780
-0.714,0.719,-0.239,6.592,311.523,-257.996
