aX,aY,aZ,gX,gY,gZ
-0.983,1.170,-0.489,102.539,52.856,53.589
-1.098,1.149,-0.469,106.812,-10.010,71.716
-1.295,1.165,-0.399,102.478,-46.570,80.139
-1.363,1.229,-0.353,94.971,-86.121,89.172
-1.399,1.333,-0.280,73.608,-172.546,114.197
-1.312,1.526,-0.023,59.387,-219.849,130.859
-1.253,1.496,0.089,18.860,-325.378,165.283
-1.206,1.297,0.207,-7.751,-381.653,179.993
-1.241,1.274,0.232,-53.894,-491.760,201.721
-1.224,1.394,0.279,-66.040,-542.908,211.121
-1.158,1.451,0.308,-71.045,-590.637,221.374
-1.092,1.466,0.316,-76.782,-674.438,243.835
-1.069,1.438,0.324,-85.449,-710.388,254.333
-1.177,1.508,0.373,-116.882,-777.039,275.513
-1.505,1.698,0.194,-129.028,-808.166,288.086
-1.705,1.682,0.001,-108.215,-852.234,302.795
-2.254,1.562,-0.349,-73.425,-867.187,297.546
-2.492,1.526,-0.577,-29.846,-881.348,283.813
-2.697,1.525,-0.862,67.627,-898.010,235.046
-2.631,1.450,-1.294,112.183,-889.831,200.134
-2.459,1.363,-1.382,163.574,-823.975,106.018
-2.228,1.419,-1.286,176.819,-771.484,50.781
-2.215,1.468,-1.146,188.538,-712.463,-2.502
-1.900,1.322,-0.795,201.416,-587.891,-89.905
-1.731,1.139,-0.589,193.787,-523.315,-122.620
-1.604,0.944,-0.342,136.536,-399.353,-168.579
-1.314,0.736,-0.052,92.468,-346.191,-182.739
-1.159,0.729,0.010,9.033,-259.888,-194.946
-0.918,0.704,0.147,-18.982,-226.807,-194.763
-0.820,0.643,0.234,-36.255,-200.317,-192.444
-0.701,0.594,0.344,-56.641,-163.757,-185.120
-0.488,0.574,0.491,-67.444,-151.978,-179.077
-0.414,0.582,0.530,-81.238,-135.254,-161.743
-0.259,0.588,0.511,-77.148,-127.930,-151.733
-0.207,0.571,0.466,-45.227,-110.352,-132.629
-0.107,0.540,0.382,-24.292,-99.060,-123.779
-0.043,0.531,0.370,-5.981,-86.243,-114.685
0.114,0.501,0.355,16.663,-59.204,-94.727
0.179,0.477,0.336,23.621,-46.204,-84.412
0.223,0.435,0.321,36.133,-23.499,-66.345
0.311,0.362,0.304,41.077,-13.733,-58.960
0.359,0.355,0.314,41.687,3.479,-45.349
0.432,0.390,0.331,36.804,11.108,-37.964
0.447,0.421,0.341,30.212,17.761,-30.029
0.453,0.453,0.343,20.020,27.222,-13.916
0.476,0.511,0.306,19.592,30.579,-6.226
0.502,0.521,0.300,28.198,38.025,8.179
0.539,0.524,0.298,34.851,42.419,15.137
0.546,0.516,0.292,40.955,47.546,22.339
0.548,0.505,0.274,48.096,60.364,36.926
0.547,0.495,0.202,49.622,67.749,43.884
0.548,0.521,0.157,53.345,83.801,56.702
0.530,0.612,0.126,56.580,91.553,63.110
0.509,0.632,0.156,60.120,98.145,69.519
0.482,0.630,0.194,64.758,106.384,79.590
0.453,0.638,0.136,65.369,108.948,82.764
0.476,0.668,0.058,67.749,118.042,87.524
0.515,0.745,-0.056,72.510,125.061,89.966
0.501,0.787,-0.063,80.566,132.446,92.651
0.465,0.828,-0.028,99.365,142.090,98.755
0.442,0.862,0.037,105.896,142.517,101.807
0.443,0.857,0.018,112.000,138.062,105.041
0.437,0.890,-0.063,112.610,136.047,105.347
0.433,0.915,-0.077,111.633,135.071,105.469
0.424,0.943,-0.072,104.919,133.789,106.384
0.424,0.955,-0.062,100.769,132.263,106.567
0.426,0.940,-0.071,93.933,128.113,102.966
0.392,0.953,-0.093,89.905,126.282,99.548
0.368,0.968,-0.101,84.839,125.000,95.886
0.354,0.989,-0.110,74.707,123.047,89.050
0.355,1.061,-0.146,71.411,122.620,86.243
0.359,1.086,-0.169,70.190,123.474,81.848
0.351,1.085,-0.154,70.679,124.451,79.468
0.344,1.095,-0.122,69.214,125.122,76.965
0.340,1.115,-0.094,58.472,124.939,72.815
0.322,1.152,-0.087,53.162,124.268,70.801
0.296,1.173,-0.103,53.040,122.742,65.552
0.245,1.201,-0.149,58.533,122.498,62.439
0.238,1.195,-0.177,65.674,123.230,59.326
0.236,1.179,-0.194,76.843,128.235,53.650
0.230,1.167,-0.183,77.881,131.897,51.575
0.215,1.168,-0.152,71.594,138.245,48.706
0.164,1.176,-0.107,66.772,139.648,46.875
0.166,1.183,-0.135,62.500,140.137,44.678
0.191,1.181,-0.185,55.725,143.311,39.673
0.214,1.137,-0.212,51.453,146.729,36.621
0.193,1.115,-0.177,39.795,152.649,28.381
0.136,1.079,-0.073,33.997,153.503,23.254
0.109,1.082,-0.042,30.029,152.832,17.822
0.110,1.098,-0.058,29.907,149.475,8.789
0.170,1.139,-0.185,32.654,149.475,6.592
0.178,1.148,-0.222,37.292,154.724,6.165
0.152,1.128,-0.194,37.903,157.837,6.592
0.132,1.108,-0.153,39.001,160.339,5.676
0.118,1.078,-0.107,40.894,159.485,4.333
0.131,1.069,-0.119,43.457,158.081,2.808
0.142,1.068,-0.135,45.410,156.250,1.160
0.125,1.048,-0.125,44.006,156.006,1.099
0.108,1.026,-0.103,39.673,154.480,0.000
0.065,1.020,-0.093,37.415,152.649,-1.160
0.057,1.044,-0.119,34.851,150.574,-2.197
0.063,1.071,-0.164,29.175,148.743,-2.014
0.086,1.073,-0.238,27.039,149.902,-1.160
0.086,1.057,-0.235,25.024,154.358,-0.305
0.091,1.019,-0.164,24.170,155.457,-0.671
0.090,0.996,-0.137,22.827,154.785,-1.709
0.083,0.980,-0.139,17.029,149.536,-5.127
0.073,0.987,-0.251,11.719,146.973,-6.653
0.074,0.982,-0.311,-1.526,146.057,-8.423
0.081,0.968,-0.334,-7.202,147.095,-9.644
0.087,0.967,-0.301,-11.597,147.949,-11.230
0.096,0.967,-0.255,-17.700,145.630,-15.015
0.125,0.976,-0.198,-20.630,141.907,-16.785
0.134,0.984,-0.196,-27.832,131.409,-19.348
0.143,0.995,-0.207,-31.433,125.854,-20.142
0.157,1.003,-0.202,-36.743,115.662,-20.508
0.162,1.000,-0.198,-36.987,110.840,-20.020
0.164,0.993,-0.215,-34.302,106.140,-19.470
0.161,0.987,-0.237,-22.156,98.450,-18.555
