aX,aY,aZ,gX,gY,gZ
1.227,1.137,0.392,125.610,78.247,20.996
1.292,1.177,0.396,113.892,78.125,35.400
1.291,1.189,0.416,104.919,77.820,41.626
1.254,1.228,0.417,96.497,76.599,46.448
1.226,1.269,0.387,89.294,72.266,53.467
1.141,1.292,0.337,91.370,70.435,56.030
1.081,1.256,0.312,98.328,67.444,59.143
0.957,1.040,0.211,100.342,67.200,58.899
0.863,0.937,0.180,101.257,67.993,56.702
0.766,0.850,0.167,98.572,69.946,47.791
0.643,0.726,0.137,94.482,70.251,42.969
0.611,0.661,0.113,79.651,70.740,36.926
0.544,0.573,0.082,68.420,71.594,35.645
0.512,0.566,0.069,55.420,72.876,35.522
0.467,0.525,0.064,29.846,76.599,35.828
0.303,0.379,0.062,22.156,78.430,33.264
0.234,0.349,0.042,23.193,81.360,22.522
0.171,0.269,-0.001,29.480,83.130,17.029
0.151,0.215,-0.004,36.682,84.900,11.841
0.135,0.200,0.002,47.668,87.524,2.869
0.111,0.161,-0.005,48.950,88.318,-0.305
0.106,0.140,0.002,39.551,88.989,-6.042
0.139,0.162,-0.010,29.297,88.623,-8.972
0.180,0.210,-0.029,16.052,87.830,-11.719
0.218,0.280,-0.044,-15.869,84.412,-15.930
0.304,0.391,-0.113,-31.555,82.031,-17.456
0.359,0.392,-0.174,-67.078,75.989,-23.071
0.445,0.495,-0.184,-88.135,71.289,-28.259
0.532,0.647,-0.147,-115.234,59.448,-38.086
0.693,1.012,-0.295,-115.173,55.054,-39.917
0.837,1.224,-0.328,-106.689,53.650,-38.574
1.064,1.437,-0.351,-79.895,55.786,-22.034
1.468,1.795,-0.381,-66.589,58.533,-7.141
1.486,1.846,-0.344,-35.522,62.317,23.193
1.296,1.823,-0.304,-13.977,60.730,33.203
1.178,1.802,-0.324,11.597,57.434,39.368
1.059,1.717,-0.327,65.430,51.270,44.861
0.842,1.383,-0.266,88.318,49.377,44.617
0.722,1.209,-0.258,116.516,49.011,39.978
0.466,0.835,-0.338,118.896,51.025,37.292
0.385,0.689,-0.381,114.319,54.504,34.790
0.327,0.562,-0.389,93.933,63.293,30.579
0.238,0.407,-0.304,81.787,67.932,27.710
0.213,0.355,-0.259,60.059,77.820,21.118
0.184,0.214,-0.196,51.575,83.374,17.334
0.168,0.161,-0.150,44.189,88.928,12.573
0.146,0.122,-0.098,29.480,97.351,0.061
0.108,0.060,-0.021,21.973,99.182,-7.568
0.095,0.040,-0.017,7.385,97.595,-23.132
0.039,0.034,-0.047,1.526,95.642,-30.212
0.039,0.047,-0.034,-3.174,91.248,-43.396
0.105,0.131,0.051,-1.465,88.623,-49.377
0.160,0.200,0.100,2.502,85.632,-54.626
0.231,0.264,0.137,12.695,78.186,-62.622
0.394,0.422,0.170,18.677,73.975,-65.918
0.471,0.549,0.167,37.659,64.270,-71.899
0.706,1.070,0.093,53.040,59.814,-72.693
0.969,1.429,0.072,72.693,56.641,-69.092
