aX,aY,aZ,gX,gY,gZ
0.239,1.691,-0.606,-132.446,-45.166,-117.187
0.257,1.644,-0.657,-111.389,-62.683,-139.465
0.322,1.554,-0.718,-109.070,-69.275,-150.085
0.363,1.564,-0.706,-135.193,-81.238,-165.894
0.422,1.576,-0.696,-157.349,-89.905,-170.898
0.429,1.562,-0.730,-177.917,-101.196,-175.354
0.436,1.551,-0.777,-198.791,-125.671,-184.937
0.513,1.512,-0.785,-197.388,-136.108,-190.674
0.561,1.477,-0.690,-188.721,-156.921,-204.163
0.507,1.435,-0.486,-189.575,-172.180,-210.815
0.495,1.437,-0.423,-193.542,-211.121,-220.276
0.530,1.428,-0.429,-192.749,-228.699,-221.497
0.549,1.377,-0.466,-192.993,-240.540,-220.032
0.558,1.277,-0.477,-203.857,-245.178,-213.196
0.472,1.089,-0.385,-213.562,-242.065,-210.510
0.379,1.081,-0.272,-236.267,-239.441,-204.224
0.207,1.013,-0.049,-248.535,-243.774,-198.914
0.194,0.943,-0.011,-271.667,-261.230,-188.538
0.161,0.850,-0.023,-280.212,-270.874,-183.533
0.164,0.791,-0.033,-285.645,-279.724,-177.368
0.285,0.708,-0.042,-288.147,-291.748,-160.156
0.311,0.677,-0.007,-287.170,-294.250,-149.353
0.306,0.626,0.047,-270.874,-297.852,-129.517
0.205,0.514,0.157,-250.732,-300.903,-123.352
0.158,0.479,0.201,-198.791,-309.814,-116.150
0.074,0.406,0.299,-176.941,-315.002,-111.938
0.042,0.376,0.368,-161.804,-320.496,-106.018
0.002,0.373,0.429,-149.536,-331.177,-87.463
-0.052,0.407,0.535,-147.644,-335.327,-74.219
-0.080,0.417,0.554,-137.817,-338.379,-43.213
-0.181,0.465,0.632,-128.113,-336.487,-26.855
-0.229,0.510,0.689,-104.675,-325.623,7.935
-0.379,0.591,0.874,-90.698,-316.345,25.940
-0.487,0.613,0.966,-73.242,-304.871,43.457
-0.602,0.618,1.053,-26.550,-272.400,74.463
-0.784,0.622,1.250,-2.197,-249.207,87.708
-0.903,0.660,1.344,33.325,-184.753,111.328
-1.226,0.744,1.474,45.471,-142.212,122.437
-1.447,0.791,1.530,68.970,-38.757,142.944
-1.976,0.824,1.546,82.642,19.958,152.588
-2.240,0.802,1.504,98.083,82.947,160.706
-2.454,0.780,1.410,126.526,222.961,169.434
-2.851,0.844,1.059,134.827,300.659,170.959
-3.112,0.901,0.789,142.395,466.370,171.936
-3.556,0.905,0.044,148.010,551.147,170.593
-3.616,0.882,-0.464,153.625,636.658,167.236
-3.588,0.885,-1.036,146.729,811.096,155.212
-3.499,1.067,-2.283,132.996,898.071,147.461
-3.530,1.231,-2.872,113.525,1056.152,132.996
-3.822,1.256,-3.536,122.986,1115.234,126.526
-3.987,1.250,-3.592,150.452,1150.452,119.934
-4.000,1.246,-3.608,253.662,1129.089,116.821
-3.948,1.327,-3.390,311.707,1073.792,124.512
-3.745,1.489,-3.227,333.923,898.682,158.081
